timestamp,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
1741646267.52000189,104628790,0,5.05,6.3,3.12,2.003786563873291,0.455063134431839,-0.08784323930740356,-0.02778724394738674,8.251112937927246,-0.7451406121253967,-49.928531646728516,0.05,0.12,-0.04,584.16
1741646267.52000189,104628790,1,4.44,8.04,346.75,2.1929633617401123,-0.26801034808158875,-0.11515776813030243,-0.02917356602847576,8.324597358703613,-1.4511531591415405,-50.04863357543945,-0.19,0.49,-0.09,584.16
1741646267.55998802,104668776,0,5.62,6.59,4.07,1.9678791761398315,0.4887121021747589,-0.07778891921043396,-0.017364421859383583,8.339513778686523,-0.7240906953811646,-49.92966842651367,0.05,0.12,-0.04,584.16
1741646267.55998802,104668776,1,6.0,8.47,347.96,2.1424224376678467,-0.20750263333320618,-0.10090021789073944,-0.011943983845412731,8.414023399353027,-1.4206058979034424,-50.049503326416016,-0.19,0.49,-0.09,584.16
1741646267.59997487,104708763,0,6.2,6.47,6.11,1.9231561422348022,0.5301792025566101,-0.07272233068943024,-0.014537443406879902,8.425322532653809,-0.7016212344169617,-49.93061447143555,0.05,0.12,-0.04,584.16
1741646267.59997487,104708763,1,6.38,8.4,350.04,2.0855422019958496,-0.13886605203151703,-0.09209837764501572,-0.004613990429788828,8.500312805175781,-1.391680359840393,-50.050472259521484,-0.19,0.49,-0.1,584.16
1741646267.61996794,104728756,0,6.12,6.7,6.58,1.9015640020370483,0.5468488335609436,-0.0756189376115799,-0.018588945269584656,8.468389511108398,-0.6895387768745422,-49.93076705932617,0.05,0.12,-0.04,584.16
1741646267.61996794,104728756,1,6.82,8.51,350.55,2.056516170501709,-0.10656628012657166,-0.09271837770938873,-0.005735362414270639,8.542386054992676,-1.3723968267440796,-50.04998779296875,-0.19,0.49,-0.1,584.16
1741646267.63996196,104748750,0,6.45,6.72,6.73,1.879059910774231,0.574017345905304,-0.07747406512498856,-0.021601280197501183,8.508455276489258,-0.6776472330093384,-49.93167495727539,0.05,0.12,-0.04,584.16
1741646267.63996196,104748750,1,6.92,8.64,350.38,2.0315535068511963,-0.06401576846837997,-0.09244050085544586,-0.006405184976756573,8.583580017089844,-1.3539499044418335,-50.049705505371094,-0.19,0.49,-0.1,584.16
1741646267.67994809,104788736,0,6.8,6.66,7.67,1.8350316286087036,0.6133310794830322,-0.08421821147203445,-0.032620158046483994,8.594847679138184,-0.6507686972618103,-49.932132720947266,0.05,0.12,-0.04,584.16
1741646267.67994809,104788736,1,7.57,8.06,351.52,1.970927357673645,0.003930074628442526,-0.09648947417736053,-0.012632875703275204,8.667315483093262,-1.3215856552124023,-50.05044937133789,-0.2,0.49,-0.09,584.16
1741646267.71993494,104828723,0,7.48,6.53,9.28,1.7895183563232422,0.6523410081863403,-0.09072203934192657,-0.037543054670095444,8.677967071533203,-0.6225182414054871,-49.933509826660156,0.05,0.12,-0.04,584.16
1741646267.71993494,104828723,1,7.72,7.68,353.1,1.9161794185638428,0.07394232600927353,-0.10087064653635025,-0.016825634986162186,8.749444007873535,-1.2777255773544312,-50.050987243652344,-0.2,0.49,-0.09,584.16
1741646267.75992107,104868709,0,7.95,6.54,11.1,1.7439205646514893,0.7079302072525024,-0.07615417242050171,-0.022720912471413612,8.758121490478516,-0.5925659537315369,-49.934993743896484,0.05,0.12,-0.04,584.16
1741646267.75992107,104868709,1,7.86,7.44,354.96,1.8687266111373901,0.15341760218143463,-0.08563986420631409,0.0008893889607861638,8.828438758850098,-1.2354168891906738,-50.05147171020508,-0.2,0.49,-0.09,584.16
1741646267.79990792,104908696,0,7.77,6.65,12.23,1.6977591514587402,0.7496181726455688,-0.05202518776059151,-0.0009656272013671696,8.835461616516113,-0.5609691143035889,-49.93568420410156,0.05,0.12,-0.04,584.16
1741646267.79990792,104908696,1,7.91,7.2,355.97,1.8202637434005737,0.21588298678398132,-0.06129275634884834,0.022852372378110886,8.90457534790039,-1.1945164203643799,-50.051578521728516,-0.2,0.49,-0.09,584.16
